Date,Last Price
5/26/22 10:00,1.0717
5/26/22 10:30,1.0717
5/26/22 11:00,1.0729
5/26/22 11:30,1.0726
5/26/22 12:00,1.0718
5/26/22 12:30,1.0706
5/26/22 13:00,1.071
5/26/22 13:30,1.0714
5/26/22 14:00,1.072
5/26/22 14:30,1.072
5/26/22 15:00,1.072
5/26/22 15:30,1.0724
5/26/22 16:00,1.073
5/26/22 16:30,1.0725
5/26/22 17:00,1.0729
5/26/22 17:30,1.0731
5/26/22 18:00,1.073
5/26/22 18:30,1.073
5/26/22 19:00,1.0731
5/26/22 19:30,1.0733
5/26/22 20:00,1.0736
5/26/22 20:30,1.074
5/26/22 21:00,1.0738
5/26/22 21:30,1.0763
5/26/22 22:00,1.0752
5/26/22 22:30,1.0756
5/26/22 23:00,1.0759
5/26/22 23:30,1.0756
5/27/22 0:00,1.0758
5/27/22 0:30,1.0754
5/27/22 1:00,1.0755
5/27/22 1:30,1.075
5/27/22 2:00,1.075
5/27/22 2:30,1.0739
5/27/22 3:00,1.0745
5/27/22 3:30,1.0736
5/27/22 4:00,1.0735
5/27/22 4:30,1.0731
5/27/22 5:00,1.0723
5/27/22 5:30,1.0716
5/27/22 6:00,1.0716
5/27/22 6:30,1.0699
5/27/22 7:00,1.0708
5/27/22 7:30,1.0708
5/27/22 8:00,1.0725
5/27/22 8:30,1.0716
5/27/22 9:00,1.0722
5/27/22 9:30,1.0746
5/27/22 10:00,1.0731
5/27/22 10:30,1.0711
5/27/22 11:00,1.0712
5/27/22 11:30,1.0708
5/27/22 12:00,1.071
5/27/22 12:30,1.071
5/27/22 13:00,1.0709
5/27/22 13:30,1.0718
5/27/22 14:00,1.0721
5/27/22 14:30,1.0732
5/27/22 15:00,1.073
5/27/22 15:30,1.0734
5/27/22 16:00,1.0731
5/27/22 16:30,1.0735
5/29/22 15:00,1.0724
5/29/22 15:30,1.0735
5/29/22 16:00,1.0737
5/29/22 16:30,1.0738
5/29/22 17:00,1.0731
5/29/22 17:30,1.0733
5/29/22 18:00,1.0735
5/29/22 18:30,1.0731
5/29/22 19:00,1.0727
5/29/22 19:30,1.073
5/29/22 20:00,1.0732
5/29/22 20:30,1.073
5/29/22 21:00,1.0735
5/29/22 21:30,1.0749
5/29/22 22:00,1.0756
5/29/22 22:30,1.0745
5/29/22 23:00,1.0739
5/29/22 23:30,1.0745
5/30/22 0:00,1.0746
5/30/22 0:30,1.0758
5/30/22 1:00,1.0755
5/30/22 1:30,1.0754
5/30/22 2:00,1.0762
5/30/22 2:30,1.0754
5/30/22 3:00,1.0753
5/30/22 3:30,1.0744
5/30/22 4:00,1.0742
5/30/22 4:30,1.0763
5/30/22 5:00,1.0767
5/30/22 5:30,1.0766
5/30/22 6:00,1.0761
5/30/22 6:30,1.0775
5/30/22 7:00,1.0771
5/30/22 7:30,1.0767
5/30/22 8:00,1.0757
5/30/22 8:30,1.0753
5/30/22 9:00,1.0763
